cod;nome;período;valor
32;ES;2013;26.92
53;DF;2013;12.02
27;AL;2014;18.3
17;TO;2014;39.07
35;SP;2014;20.73
28;SE;2014;31.3
42;SC;2014;22.05
43;RS;2014;41.8
14;RR;2014;85.77
11;RO;2014;50.86
24;RN;2014;31.5
33;RJ;2014;38.55
41;PR;2014;56.72
22;PI;2014;11.55
26;PE;2014;25.64
25;PB;2014;10.5
15;PA;2014;28.14
51;MT;2014;52.37
50;MS;2014;39.04
31;MG;2014;25.29
21;MA;2014;36.79
52;GO;2014;47.17
32;ES;2014;28.98
53;DF;2014;18.68
23;CE;2014;21.28
29;BA;2014;24.81
16;AP;2014;17.78
13;AM;2014;25.97
12;AC;2014;51.85
32;ES;2015;21.63
52;GO;2015;48.1
21;MA;2015;41.93
31;MG;2015;23.61
50;MS;2015;37.1
51;MT;2015;40.58
15;PA;2015;26.91
25;PB;2015;11.12
26;PE;2015;27.66
22;PI;2015;16.88
41;PR;2015;54.65
33;RJ;2015;36.37
24;RN;2015;22.58
12;AC;2015;36.23
27;AL;2015;13.82
13;AM;2015;30.44
16;AP;2015;14.48
29;BA;2015;22.75
23;CE;2015;17.79
53;DF;2015;21.49
11;RO;2015;48.88
14;RR;2015;61.79
43;RS;2015;45.21
42;SC;2015;23.08
28;SE;2015;29.89
35;SP;2015;17.69
17;TO;2015;58.65
51;MT;2016;40.73
12;AC;2016;54.14
27;AL;2016;7.37
13;AM;2016;22.67
16;AP;2016;13.66
29;BA;2016;29.19
23;CE;2016;17.01
53;DF;2016;22.4
32;ES;2016;17.26
52;GO;2016;50.31
21;MA;2016;37.62
31;MG;2016;25.52
50;MS;2016;37.68
15;PA;2016;34.51
25;PB;2016;10.55
26;PE;2016;35.7
22;PI;2016;14.66
41;PR;2016;58.26
33;RJ;2016;39.8
24;RN;2016;31.29
11;RO;2016;61.2
14;RR;2016;56.07
43;RS;2016;48.95
42;SC;2016;22.88
28;SE;2016;30.19
35;SP;2016;16.98
17;TO;2016;54.68
50;MS;2017;37.44
12;AC;2017;86.01
14;RR;2017;79.74
17;TO;2017;52.72
43;RS;2017;51.43
41;PR;2017;49.24
11;RO;2017;43.95
33;RJ;2017;43.37
52;GO;2017;43.09
51;MT;2017;42.12
26;PE;2017;42.09
15;PA;2017;41.12
13;AM;2017;34.46
29;BA;2017;29.63
16;AP;2017;29.52
28;SE;2017;28.54
24;RN;2017;28.48
22;PI;2017;14.63
35;SP;2017;15.94
21;MA;2017;26.34
53;DF;2017;20.49
32;ES;2017;20.91
31;MG;2017;23.61
23;CE;2017;24.34
42;SC;2017;24.67
27;AL;2017;7.87
25;PB;2017;13.44
25;PB;2018;8.88
35;SP;2018;12.57
22;PI;2018;12.84
32;ES;2018;15.42
53;DF;2018;18.02
31;MG;2018;18.04
42;SC;2018;21.44
28;SE;2018;22.55
21;MA;2018;26.7
23;CE;2018;27.96
29;BA;2018;28.51
13;AM;2018;30.76
14;RR;2018;93.85
50;MS;2018;30.8
24;RN;2018;33.89
15;PA;2018;35.07
16;AP;2018;35.66
51;MT;2018;35.89
26;PE;2018;37.06
52;GO;2018;39.46
11;RO;2018;39.86
33;RJ;2018;41.84
43;RS;2018;41.95
41;PR;2018;43.75
17;TO;2018;45.67
12;AC;2018;48.14
27;AL;2018;5.28
25;PB;2019;7.28
14;RR;2019;68.68
13;AM;2019;50.17
17;TO;2019;44.82
11;RO;2019;40.95
41;PR;2019;37.72
12;AC;2019;37.35
52;GO;2019;35.45
26;PE;2019;33.71
43;RS;2019;33.3
51;MT;2019;30.55
21;MA;2019;26.4
15;PA;2019;25.47
50;MS;2019;24.11
33;RJ;2019;23.75
29;BA;2019;21.75
27;AL;2019;2.17
24;RN;2019;19.01
35;SP;2019;10.73
16;AP;2019;12.12
32;ES;2019;12.32
23;CE;2019;12.66
53;DF;2019;14.41
22;PI;2019;14.56
28;SE;2019;15.31
31;MG;2019;16.16
42;SC;2019;17.47
11;RO;2020;33.21
12;AC;2020;41.77
13;AM;2020;37.49
14;RR;2020;73.91
15;PA;2020;23.17
16;AP;2020;29.22
17;TO;2020;43.87
21;MA;2020;33.29
22;PI;2020;22.32
23;CE;2020;18.21
32;ES;2020;16.09
31;MG;2020;16.13
29;BA;2020;26.24
28;SE;2020;20.41
27;AL;2020;2.292
26;PE;2020;36.96
25;PB;2020;10.99
24;RN;2020;17.29
53;DF;2020;18.49
52;GO;2020;34.1
51;MT;2020;35.14
50;MS;2020;23.25
43;RS;2020;30.28
42;SC;2020;15.91
41;PR;2020;36.54
35;SP;2020;10.83
33;RJ;2020;29.03
17;TO;2021;34.92
33;RJ;2021;28.17
35;SP;2021;9.98
41;PR;2021;34.16
42;SC;2021;15
43;RS;2021;27.03
50;MS;2021;22.57
51;MT;2021;34.87
52;GO;2021;29.51
53;DF;2021;12.08
11;RO;2021;41.94
12;AC;2021;24.46
13;AM;2021;39.63
14;RR;2021;77.63
15;PA;2021;20.52
16;AP;2021;15.8
21;MA;2021;34.3
22;PI;2021;20.07
23;CE;2021;19.45
24;RN;2021;14.43
25;PB;2021;11.78
26;PE;2021;35.6
27;AL;2021;2.57
28;SE;2021;17.83
29;BA;2021;25.7
31;MG;2021;13.97
32;ES;2021;17.58
13;AM;2022;39.45
14;RR;2022;64.04
15;PA;2022;24.59
16;AP;2022;10.64
17;TO;2022;34.64
21;MA;2022;24.88
24;RN;2022;17.11
22;PI;2022;22.6
23;CE;2022;17.2
12;AC;2022;25.06
11;RO;2022;42.33
53;DF;2022;10.92
52;GO;2022;22.59
51;MT;2022;39.34
50;MS;2022;27.94
43;RS;2022;29.03
42;SC;2022;14.74
41;PR;2022;36.5
35;SP;2022;10.2
33;RJ;2022;22.07
32;ES;2022;19.99
31;MG;2022;13.55
29;BA;2022;27.99
28;SE;2022;12.67
27;AL;2022;3.23
26;PE;2022;30.69
25;PB;2022;20.14
